date,geography,geography code,Type of central heating in household: Total: All households,Type of central heating in household: No central heating,Type of central heating in household: Mains gas only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Electric only,Type of central heating in household: Oil only,Type of central heating in household: Wood only,Type of central heating in household: Solid fuel only,Type of central heating in household: Renewable energy only,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Other central heating only,Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Two or more types of central heating (including renewable energy)
2021,Hartlepool,E06000001,40930,342,33664,184,1886,120,17,27,54,208,526,3722,180
2021,Middlesbrough,E06000002,60262,752,48397,299,3554,54,18,12,65,219,1030,5684,178
2021,Redcar and Cleveland,E06000003,61638,569,50613,353,2610,613,69,182,107,132,637,5443,310
2021,Stockton-on-Tees,E06000004,83757,705,69453,420,3779,383,32,56,87,270,831,7346,395
2021,Darlington,E06000005,48918,466,39821,279,2865,667,41,39,86,155,366,3906,227
2021,Halton,E06000006,55951,803,47139,228,2512,127,8,35,31,199,553,4143,173
2021,Warrington,E06000007,90536,963,75969,471,4768,417,34,54,103,212,541,6675,329
2021,Blackburn with Darwen,E06000008,58766,985,47488,289,2609,315,25,67,85,228,727,5730,218
2021,Blackpool,E06000009,64794,1492,50688,169,6062,57,70,24,24,144,631,5318,115
2021,"Kingston upon Hull, City of",E06000010,115471,2093,92448,559,8169,40,31,41,119,374,1555,9775,267
2021,East Riding of Yorkshire,E06000011,152070,1507,113989,2449,7401,8770,548,902,1065,135,673,13712,919
2021,North East Lincolnshire,E06000012,69826,1021,58454,283,2983,450,63,84,136,205,527,5363,257
2021,North Lincolnshire,E06000013,73175,540,57720,864,2566,3327,138,555,366,222,453,5953,471
2021,York,E06000014,85460,1056,66964,473,7794,950,59,63,274,586,413,6413,415
2021,Derby,E06000015,105652,1829,85904,429,7480,36,36,44,120,236,1235,7930,373
2021,Leicester,E06000016,127385,2416,94228,668,14002,49,14,40,175,2421,2388,10360,624
2021,Rutland,E06000017,16693,122,11676,231,978,1520,37,53,173,51,47,1594,211
